Sort Data 
Num Elements	Selection Sort	Bubble Sort	Insertion Sort
10	1	1	1
20	1	1	1
30	3	2	2
40	5	3	3
50	7	5	4
60	11	6	6
70	14	9	8
80	18	11	11
90	22	13	12
100	28	16	16
110	33	19	19
120	40	23	24
130	52	26	26
140	55	30	34
150	64	34	41
160	76	39	48
170	84	42	53
180	95	48	56
190	148	53	57
200	118	58	58
210	139	63	64
220	144	70	70
230	205	76	84
240	185	82	91
250	199	89	126
260	215	95	97
270	244	102	106
280	301	109	120
290	270	117	130
300	298	125	130
310	327	135	148
320	336	141	150
330	364	150	169
340	394	160	165
350	391	167	176
360	422	177	190
370	442	185	198
380	484	195	205
390	505	206	233
400	522	216	244
410	541	228	248
420	574	238	278
430	600	249	282
440	621	260	282
450	679	271	299
460	691	284	312
470	718	293	327
480	756	307	323
490	807	320	363
500	820	333	368
510	884	345	395
520	904	358	415
530	934	371	425
540	977	384	452
550	1019	399	485
560	1044	413	484
570	1081	425	493
580	1130	441	526
590	1167	457	542
600	1196	472	555
610	1231	488	566
620	1277	501	597
630	1361	521	635
640	1371	536	638
650	1411	552	628
660	1466	567	662
670	1514	583	668
680	1543	604	695
690	1597	621	706
700	1637	637	686
710	1664	654	729
720	1726	673	753
730	1831	688	775
740	1859	709	818
750	1913	725	822
760	1948	748	823
770	1993	765	852
780	2033	789	861
790	2111	810	909
800	2181	824	945
810	2221	846	941
820	2335	873	965
830	2348	888	984
840	2392	906	1038
850	2446	929	1061
860	2537	948	1092
870	2589	970	1094
880	2684	994	1115
890	2694	1014	1174
900	2788	1035	1195
910	2809	1060	1195
920	2843	1084	1250
930	2904	1106	1251
940	3010	1127	1305
950	3074	1152	1312
960	3187	1176	1369
970	3236	1201	1393
980	3263	1223	1383
990	3347	1251	1443
